parent,role,permlevel,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,if_owner,modified
Coupon Code,System Manager,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:03.167551
CRM Settings,Sales Master Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:14.700503
CRM Settings,System Manager,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:14.700503
CRM Settings,Sales Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:14.700503
Crop,System Manager,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-02-22 16:33:29.025845
Crop,QA Manager,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-22 16:33:29.026327
Crop,Agriculture Manager,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-02-22 16:33:29.026093
Currency,Purchase User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:07:54.039370
Currency,Sales User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:07:54.039370
Currency,Accounts Manager,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:07:54.039370
Currency,System Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:07:54.039370
Currency,Accounts User,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 14:07:54.039370
Currency Exchange,Accounts Manager,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:21.468366
Currency Exchange,Accounts User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:21.468366
Currency Exchange,Purchase User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:21.468366
Currency Exchange,Sales User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:21.468366
Currency Exchange Settings,System Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:05.379609
Currency Exchange Settings,Accounts Manager,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:05.379609
